model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
CE-NCF,100,1,128,128,0.001,10,0.0001,290,5,Adam,0.2993,0.5657,0.1921,0.6923
CE-NCF,100,1,128,128,0.001,10,0.0001,300,5,Adam,0.3015,0.5703,0.194,0.6994
E-NCF,100,1,128,128,0.0001,10,0.0001,10,5,Adam,0.3112,0.5881,0.1975,0.7127
E-NCF,100,1,128,128,0.0001,10,0.0001,20,5,Adam,0.3142,0.5928,0.1994,0.7191
E-NCF,100,1,128,128,0.0001,10,0.0001,30,5,Adam,0.3138,0.5918,0.1982,0.7161
E-NCF,100,1,128,128,0.0001,10,0.0001,40,5,Adam,0.3125,0.5887,0.1978,0.7133
E-NCF,100,1,128,128,0.0001,10,0.0001,50,5,Adam,0.3159,0.5952,0.1997,0.7192
E-NCF,100,1,128,128,0.0001,10,0.0001,60,5,Adam,0.3123,0.5877,0.1963,0.7091
E-NCF,100,1,128,128,0.0001,10,0.0001,70,5,Adam,0.3144,0.5924,0.1987,0.7172
E-NCF,100,1,128,128,0.0001,10,0.0001,80,5,Adam,0.3131,0.5887,0.198,0.7124
E-NCF,100,1,128,128,0.0001,10,0.0001,90,5,Adam,0.3127,0.5891,0.1977,0.7137
E-NCF,100,1,128,128,0.0001,10,0.0001,100,5,Adam,0.3113,0.5868,0.1965,0.7093
E-NCF,100,1,128,128,0.0001,10,0.0001,110,5,Adam,0.3105,0.5844,0.1963,0.7074
E-NCF,100,1,128,128,0.0001,10,0.0001,120,5,Adam,0.3096,0.5838,0.1966,0.7094
E-NCF,100,1,128,128,0.0001,10,0.0001,130,5,Adam,0.3149,0.5933,0.1997,0.7193
E-NCF,100,1,128,128,0.0001,10,0.0001,140,5,Adam,0.3082,0.581,0.1961,0.705
E-NCF,100,1,128,128,0.0001,10,0.0001,150,5,Adam,0.3133,0.5899,0.197,0.7113
E-NCF,100,1,128,128,0.0001,10,0.0001,160,5,Adam,0.3105,0.5854,0.1967,0.7086
E-NCF,100,1,128,128,0.0001,10,0.0001,170,5,Adam,0.3158,0.5955,0.2007,0.723
E-NCF,100,1,128,128,0.0001,10,0.0001,180,5,Adam,0.3104,0.5851,0.196,0.7077
E-NCF,100,1,128,128,0.0001,10,0.0001,190,5,Adam,0.3154,0.5942,0.1987,0.7175
E-NCF,100,1,128,128,0.0001,10,0.0001,200,5,Adam,0.3103,0.5844,0.196,0.7063
E-NCF,100,1,128,128,0.0001,10,0.0001,210,5,Adam,0.3116,0.5884,0.1983,0.7149
E-NCF,100,1,128,128,0.0001,10,0.0001,220,5,Adam,0.3156,0.5931,0.1983,0.7142
E-NCF,100,1,128,128,0.0001,10,0.0001,230,5,Adam,0.3132,0.5898,0.1971,0.7117
E-NCF,100,1,128,128,0.0001,10,0.0001,240,5,Adam,0.3112,0.5855,0.1969,0.7084
E-NCF,100,1,128,128,0.0001,10,0.0001,250,5,Adam,0.3124,0.5888,0.1967,0.7096
E-NCF,100,1,128,128,0.0001,10,0.0001,260,5,Adam,0.3129,0.5894,0.1982,0.7133
E-NCF,100,1,128,128,0.0001,10,0.0001,270,5,Adam,0.3128,0.5885,0.1967,0.7084
E-NCF,100,1,128,128,0.0001,10,0.0001,280,5,Adam,0.3159,0.5964,0.2007,0.7229
E-NCF,100,1,128,128,0.0001,10,0.0001,290,5,Adam,0.3168,0.5967,0.1996,0.719
E-NCF,100,1,128,128,0.0001,10,0.0001,300,5,Adam,0.3169,0.5982,0.201,0.7234
E-VNCF,200,1,128,128,5e-05,10,0.0001,10,5,Adam,0.2887,0.5495,0.1944,0.7022
E-VNCF,200,1,128,128,5e-05,10,0.0001,20,5,Adam,0.3267,0.6159,0.2057,0.7444
E-VNCF,200,1,128,128,5e-05,10,0.0001,30,5,Adam,0.3224,0.6078,0.2022,0.7311
E-VNCF,200,1,128,128,5e-05,10,0.0001,40,5,Adam,0.3242,0.6119,0.2035,0.7378
E-VNCF,200,1,128,128,5e-05,10,0.0001,50,5,Adam,0.3181,0.6005,0.2014,0.7266
E-VNCF,200,1,128,128,5e-05,10,0.0001,60,5,Adam,0.322,0.6067,0.2031,0.7312
E-VNCF,200,1,128,128,5e-05,10,0.0001,70,5,Adam,0.3223,0.6057,0.2021,0.7272
E-VNCF,200,1,128,128,5e-05,10,0.0001,80,5,Adam,0.3198,0.6025,0.2013,0.7272
E-VNCF,200,1,128,128,5e-05,10,0.0001,90,5,Adam,0.3211,0.6054,0.2023,0.7304
E-VNCF,200,1,128,128,5e-05,10,0.0001,100,5,Adam,0.3196,0.6014,0.2008,0.724
E-VNCF,200,1,128,128,5e-05,10,0.0001,110,5,Adam,0.3191,0.6003,0.2001,0.7204
E-VNCF,200,1,128,128,5e-05,10,0.0001,120,5,Adam,0.3211,0.6036,0.2005,0.7245
E-VNCF,200,1,128,128,5e-05,10,0.0001,130,5,Adam,0.3194,0.6019,0.2015,0.7257
E-VNCF,200,1,128,128,5e-05,10,0.0001,140,5,Adam,0.3223,0.607,0.2023,0.7296
E-VNCF,200,1,128,128,5e-05,10,0.0001,150,5,Adam,0.317,0.5955,0.1994,0.7158
E-VNCF,200,1,128,128,5e-05,10,0.0001,160,5,Adam,0.3194,0.6005,0.2002,0.7217
E-VNCF,200,1,128,128,5e-05,10,0.0001,170,5,Adam,0.3202,0.6032,0.2015,0.7263
E-VNCF,200,1,128,128,5e-05,10,0.0001,180,5,Adam,0.3224,0.6076,0.2016,0.7285
E-VNCF,200,1,128,128,5e-05,10,0.0001,190,5,Adam,0.3216,0.6046,0.2013,0.724
E-VNCF,200,1,128,128,5e-05,10,0.0001,200,5,Adam,0.319,0.5994,0.1996,0.7184
E-VNCF,200,1,128,128,5e-05,10,0.0001,210,5,Adam,0.3215,0.6046,0.2003,0.7233
E-VNCF,200,1,128,128,5e-05,10,0.0001,220,5,Adam,0.3218,0.6049,0.2006,0.7232
E-VNCF,200,1,128,128,5e-05,10,0.0001,230,5,Adam,0.3202,0.6018,0.2005,0.72
E-VNCF,200,1,128,128,5e-05,10,0.0001,240,5,Adam,0.3221,0.6054,0.2018,0.7254
E-VNCF,200,1,128,128,5e-05,10,0.0001,250,5,Adam,0.3221,0.6049,0.2013,0.7246
E-VNCF,200,1,128,128,5e-05,10,0.0001,260,5,Adam,0.3225,0.6059,0.2015,0.7238
E-VNCF,200,1,128,128,5e-05,10,0.0001,270,5,Adam,0.3235,0.6085,0.2023,0.7281
