Falling Rank,type,model
-55543,Unaffected,CVNCF
24763,Unaffected,CVNCF
-9469,Unaffected,CVNCF
32526,Unaffected,CVNCF
-126380,Unaffected,CVNCF
-49485,Unaffected,CVNCF
-221895,Unaffected,CVNCF
-76138,Unaffected,CVNCF
73671,Unaffected,CVNCF
-44079,Unaffected,CVNCF
-103606,Unaffected,CVNCF
23204,Unaffected,CVNCF
40613,Unaffected,CVNCF
-39338,Unaffected,CVNCF
-12057,Unaffected,CVNCF
-54195,Unaffected,CVNCF
-90177,Unaffected,CVNCF
52111,Unaffected,CVNCF
-69051,Unaffected,CVNCF
6968,Unaffected,CVNCF
171,Unaffected,CVNCF
-39501,Unaffected,CVNCF
-55914,Unaffected,CVNCF
-35796,Unaffected,CVNCF
-9133,Unaffected,CVNCF
83015,Unaffected,CVNCF
-42422,Unaffected,CVNCF
28617,Unaffected,CVNCF
-19000,Unaffected,CVNCF
35125,Unaffected,CVNCF
37082,Unaffected,CVNCF
7200,Unaffected,CVNCF
53503,Unaffected,CVNCF
3772,Unaffected,CVNCF
-17230,Unaffected,CVNCF
55781,Unaffected,CVNCF
35236,Unaffected,CVNCF
41615,Unaffected,CVNCF
8690,Unaffected,CVNCF
-92188,Unaffected,CVNCF
-118772,Unaffected,CVNCF
-43922,Unaffected,CVNCF
18314,Unaffected,CVNCF
-164498,Unaffected,CVNCF
-59336,Unaffected,CVNCF
-40700,Unaffected,CVNCF
-80233,Unaffected,CVNCF
22150,Unaffected,CVNCF
34260,Unaffected,CVNCF
-33113,Unaffected,CVNCF
-15440,Unaffected,CVNCF
-1648,Unaffected,CVNCF
-17752,Unaffected,CVNCF
-7186,Unaffected,CVNCF
-314028,Unaffected,CVNCF
-12257,Unaffected,CVNCF
-367497,Unaffected,CVNCF
-74561,Unaffected,CVNCF
-16145,Unaffected,CVNCF
71048,Unaffected,CVNCF
-4930,Unaffected,CVNCF
64447,Unaffected,CVNCF
-52464,Unaffected,CVNCF
-263160,Unaffected,CVNCF
-79475,Unaffected,CVNCF
-42755,Unaffected,CVNCF
-157483,Unaffected,CVNCF
-35979,Unaffected,CVNCF
11666,Unaffected,CVNCF
63207,Unaffected,CVNCF
39356,Unaffected,CVNCF
12238,Unaffected,CVNCF
15168,Unaffected,CVNCF
-107753,Unaffected,CVNCF
-46138,Unaffected,CVNCF
3918,Unaffected,CVNCF
-224911,Unaffected,CVNCF
-122967,Unaffected,CVNCF
-17308,Unaffected,CVNCF
29800,Unaffected,CVNCF
-55628,Unaffected,CVNCF
10825,Unaffected,CVNCF
-12027,Unaffected,CVNCF
-87141,Unaffected,CVNCF
-140300,Unaffected,CVNCF
-19622,Unaffected,CVNCF
-7258,Unaffected,CVNCF
859,Unaffected,CVNCF
-3045,Unaffected,CVNCF
-174490,Unaffected,CVNCF
21958,Unaffected,CVNCF
-50665,Unaffected,CVNCF
39538,Unaffected,CVNCF
-16422,Unaffected,CVNCF
82157,Unaffected,CVNCF
-194454,Unaffected,CVNCF
-96938,Unaffected,CVNCF
43314,Unaffected,CVNCF
44687,Unaffected,CVNCF
-97975,Unaffected,CVNCF
-54461,Unaffected,CVNCF
-13589,Unaffected,CVNCF
-80081,Unaffected,CVNCF
-1284,Unaffected,CVNCF
11883,Unaffected,CVNCF
-44074,Unaffected,CVNCF
59018,Unaffected,CVNCF
-3562,Unaffected,CVNCF
-17388,Unaffected,CVNCF
7986,Unaffected,CVNCF
-14959,Unaffected,CVNCF
-35127,Unaffected,CVNCF
5568,Unaffected,CVNCF
20104,Unaffected,CVNCF
6323,Unaffected,CVNCF
-121700,Unaffected,CVNCF
-25761,Unaffected,CVNCF
64648,Unaffected,CVNCF
-57869,Unaffected,CVNCF
-43112,Unaffected,CVNCF
-16045,Unaffected,CVNCF
60429,Unaffected,CVNCF
-105413,Unaffected,CVNCF
2499,Unaffected,CVNCF
23363,Unaffected,CVNCF
-209852,Unaffected,CVNCF
-18653,Unaffected,CVNCF
-126926,Unaffected,CVNCF
8088,Unaffected,CVNCF
-23740,Unaffected,CVNCF
-134567,Unaffected,CVNCF
-27997,Unaffected,CVNCF
46795,Unaffected,CVNCF
-131823,Unaffected,CVNCF
-59832,Unaffected,CVNCF
-14147,Unaffected,CVNCF
125894,Unaffected,CVNCF
-46585,Unaffected,CVNCF
61630,Unaffected,CVNCF
19728,Unaffected,CVNCF
77149,Unaffected,CVNCF
861,Unaffected,CVNCF
186255,Unaffected,CVNCF
-21252,Unaffected,CVNCF
-14232,Unaffected,CVNCF
-518,Unaffected,CVNCF
-123411,Unaffected,CVNCF
-185093,Unaffected,CVNCF
-149693,Unaffected,CVNCF
20594,Unaffected,CVNCF
-69040,Unaffected,CVNCF
17274,Unaffected,CVNCF
18968,Unaffected,CVNCF
-50856,Unaffected,CVNCF
1797,Unaffected,CVNCF
-66912,Unaffected,CVNCF
177496,Unaffected,CVNCF
-75133,Unaffected,CVNCF
22284,Unaffected,CVNCF
-14449,Unaffected,CVNCF
-4407,Unaffected,CVNCF
13709,Unaffected,CVNCF
-84832,Unaffected,CVNCF
66889,Unaffected,CVNCF
-141970,Unaffected,CVNCF
-161003,Unaffected,CVNCF
-17608,Unaffected,CVNCF
-63964,Unaffected,CVNCF
14837,Unaffected,CVNCF
-29129,Unaffected,CVNCF
17139,Unaffected,CVNCF
-64794,Unaffected,CVNCF
-61687,Unaffected,CVNCF
23902,Unaffected,CVNCF
6442,Unaffected,CVNCF
42689,Unaffected,CVNCF
-95554,Unaffected,CVNCF
-240760,Unaffected,CVNCF
-92379,Unaffected,CVNCF
-241947,Unaffected,CVNCF
-3417,Unaffected,CVNCF
28581,Unaffected,CVNCF
-38166,Unaffected,CVNCF
-27712,Unaffected,CVNCF
-158,Unaffected,CVNCF
-138577,Unaffected,CVNCF
21650,Unaffected,CVNCF
92829,Unaffected,CVNCF
-139566,Unaffected,CVNCF
-123925,Unaffected,CVNCF
28105,Unaffected,CVNCF
-55625,Unaffected,CVNCF
1370,Unaffected,CVNCF
-52784,Unaffected,CVNCF
-2620,Unaffected,CVNCF
-42855,Unaffected,CVNCF
-155432,Unaffected,CVNCF
-64770,Unaffected,CVNCF
-124174,Unaffected,CVNCF
-515,Unaffected,CVNCF
-49492,Unaffected,CVNCF
-6672,Unaffected,CVNCF
56339,Unaffected,CVNCF
-11688,Unaffected,CVNCF
14831,Unaffected,CVNCF
-29352,Unaffected,CVNCF
19858,Unaffected,CVNCF
-58944,Unaffected,CVNCF
137510,Unaffected,CVNCF
10831,Unaffected,CVNCF
-4645,Unaffected,CVNCF
-169796,Unaffected,CVNCF
-3019,Unaffected,CVNCF
11675,Unaffected,CVNCF
18859,Unaffected,CVNCF
-3671,Unaffected,CVNCF
59299,Unaffected,CVNCF
-101368,Unaffected,CVNCF
-243825,Unaffected,CVNCF
-44320,Unaffected,CVNCF
2988,Unaffected,CVNCF
-8026,Unaffected,CVNCF
8625,Unaffected,CVNCF
-46106,Unaffected,CVNCF
6241,Unaffected,CVNCF
-20960,Unaffected,CVNCF
-3121,Unaffected,CVNCF
-65762,Unaffected,CVNCF
23925,Unaffected,CVNCF
-165595,Unaffected,CVNCF
-86640,Unaffected,CVNCF
-60391,Unaffected,CVNCF
19428,Unaffected,CVNCF
-122465,Unaffected,CVNCF
-47911,Unaffected,CVNCF
-90181,Unaffected,CVNCF
7717,Unaffected,CVNCF
42961,Unaffected,CVNCF
-78040,Unaffected,CVNCF
16341,Unaffected,CVNCF
47348,Unaffected,CVNCF
-69788,Unaffected,CVNCF
-90511,Unaffected,CVNCF
47262,Unaffected,CVNCF
-3740,Unaffected,CVNCF
-131047,Unaffected,CVNCF
-104113,Unaffected,CVNCF
46249,Unaffected,CVNCF
7948,Unaffected,CVNCF
-367017,Unaffected,CVNCF
88580,Unaffected,CVNCF
-107037,Unaffected,CVNCF
-131393,Unaffected,CVNCF
-31780,Unaffected,CVNCF
-92894,Unaffected,CVNCF
-22584,Unaffected,CVNCF
-20524,Unaffected,CVNCF
-68587,Unaffected,CVNCF
5753,Unaffected,CVNCF
-13631,Unaffected,CVNCF
-80411,Unaffected,CVNCF
-38564,Unaffected,CVNCF
-108367,Unaffected,CVNCF
-101306,Unaffected,CVNCF
-18112,Unaffected,CVNCF
36472,Unaffected,CVNCF
-12580,Unaffected,CVNCF
-242150,Unaffected,CVNCF
-70147,Unaffected,CVNCF
16817,Unaffected,CVNCF
-267175,Unaffected,CVNCF
-71421,Unaffected,CVNCF
-11628,Unaffected,CVNCF
-3584,Unaffected,CVNCF
-71371,Unaffected,CVNCF
-76117,Unaffected,CVNCF
23616,Unaffected,CVNCF
-83435,Unaffected,CVNCF
