F-MAP@10,F-MAP@20,F-MAP@5,model
-0.012499999999999956,-0.009375000000000022,0.0,CE-NCF
-0.09499999999999997,-0.04749999999999993,-0.15666666666666662,CE-NCF
0.021111111111111112,0.017460317460317447,0.0,CE-NCF
0.0,-0.0036404771698888005,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.05833333333333329,0.041450216450216404,0.1166666666666667,CE-NCF
-0.033333333333333326,-0.016666666666666663,-0.06666666666666654,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,-0.005852732793522275,0.0,CE-NCF
-0.04345238095238102,-0.043831975772765264,0.0,CE-NCF
0.05833333333333335,0.029166666666666674,0.11666666666666659,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.032500000000000084,-0.016249999999999987,-0.040000000000000036,CE-NCF
-0.15,-0.08250000000000002,-0.30000000000000004,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.012500000000000004,0.006249999999999992,0.0,CE-NCF
0.02428571428571428,0.023489010989011017,0.0,CE-NCF
0.012500000000000011,0.006249999999999978,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.002631578947368421,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.02111111111111111,-0.019267676767676767,0.0,CE-NCF
0.014285714285714318,0.001076680672268876,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
